"","mgi_symbol","ensembl_gene_id"
"208","Mink1","ENSMUSG00000020827"
"209","Vamp2","ENSMUSG00000020894"
"210","Ctc1","ENSMUSG00000020898"
"211","Top2a","ENSMUSG00000020914"
"212","Stat5b","ENSMUSG00000020919"
"213","Map3k14","ENSMUSG00000020941"
"214","Ston2","ENSMUSG00000020961"
"215","Ppp2r3c","ENSMUSG00000021022"
"216","Sptb","ENSMUSG00000021061"
"217","Glrx5","ENSMUSG00000021102"
"218","Hif1a","ENSMUSG00000021109"
"219","Zfp36l1","ENSMUSG00000021127"
"220","Traf3","ENSMUSG00000021277"
"221","Gli3","ENSMUSG00000021318"
"222","Trim27","ENSMUSG00000021326"
"223","Gpld1","ENSMUSG00000021340"
"224","Irf4","ENSMUSG00000021356"
"225","Tmem14c","ENSMUSG00000021361"
"226","Gadd45g","ENSMUSG00000021453"
"227","Syk","ENSMUSG00000021457"
"228","Fancc","ENSMUSG00000021461"
"229","Sfxn1","ENSMUSG00000021474"
"230","Ddx41","ENSMUSG00000021494"
"231","Cxcl14","ENSMUSG00000021508"
"232","Smad5","ENSMUSG00000021540"
"233","Dapk1","ENSMUSG00000021559"
"234","Erap1","ENSMUSG00000021583"
"235","Xrcc4","ENSMUSG00000021615"
"236","Cd180","ENSMUSG00000021624"
"237","F2rl1","ENSMUSG00000021678"
"238","Ap3b1","ENSMUSG00000021686"
"239","Pde4d","ENSMUSG00000021699"
"240","Rab3c","ENSMUSG00000021700"
"241","Fgf10","ENSMUSG00000021732"
"242","Bmpr1a","ENSMUSG00000021796"
"243","Ppp3cb","ENSMUSG00000021816"
"244","Bmp4","ENSMUSG00000021835"
"245","Prkcd","ENSMUSG00000021948"
"246","Wnt5a","ENSMUSG00000021994"
"247","Lcp1","ENSMUSG00000021998"
"248","Tnfsf11","ENSMUSG00000022015"
"249","Rgcc","ENSMUSG00000022018"
"250","Esco2","ENSMUSG00000022034"
"251","Clu","ENSMUSG00000022037"
"252","Trim35","ENSMUSG00000022043"
"253","Bnip3l","ENSMUSG00000022051"
"254","Dmtn","ENSMUSG00000022099"
"255","Rb1","ENSMUSG00000022105"
"256","Ednrb","ENSMUSG00000022122"
"257","Fyb","ENSMUSG00000022148"
"258","Gzme","ENSMUSG00000022156"
"259","Mcpt8","ENSMUSG00000022157"
"260","Acin1","ENSMUSG00000022185"
"261","Golph3","ENSMUSG00000022200"
"262","Psme1","ENSMUSG00000022216"
"263","Ripk3","ENSMUSG00000022221"
"264","Dcstamp","ENSMUSG00000022303"
"265","Angpt1","ENSMUSG00000022309"
"266","Stk3","ENSMUSG00000022329"
"267","Zfat","ENSMUSG00000022335"
"268","Enpp2","ENSMUSG00000022425"
"269","Myh9","ENSMUSG00000022443"
"270","Xrcc6","ENSMUSG00000022471"
"271","Hdac7","ENSMUSG00000022475"
"272","Polr3h","ENSMUSG00000022476"
"273","Nckap1l","ENSMUSG00000022488"
"274","Ciita","ENSMUSG00000022504"
"275","Emp2","ENSMUSG00000022505"
"276","Bcl6","ENSMUSG00000022508"
"277","Il1rap","ENSMUSG00000022514"
"278","Hes1","ENSMUSG00000022528"
"279","Mefv","ENSMUSG00000022534"
"280","Rogdi","ENSMUSG00000022540"
"281","Ptk2","ENSMUSG00000022607"
"282","Cblb","ENSMUSG00000022637"
"283","Prkdc","ENSMUSG00000022672"
"284","Dlg1","ENSMUSG00000022770"
"285","Tnk2","ENSMUSG00000022791"
