"","mgi_symbol","ensembl_gene_id","ensembl_transcript_id"
"196","Map3k5","ENSMUSG00000071369","ENSMUST00000071369"
"197","C4b","ENSMUSG00000073418","ENSMUST00000073418"
"198","4933415F23Rik","ENSMUSG00000073730","ENSMUST00000073730"
"199","Ifna12","ENSMUSG00000073811","ENSMUST00000073811"
"200","Nlrc5","ENSMUSG00000074151","ENSMUST00000074151"
"201","Ifit3","ENSMUSG00000074896","ENSMUST00000074896"
"202","Msrb1","ENSMUSG00000075705","ENSMUST00000075705"
"203","Ifna2","ENSMUSG00000078354","ENSMUST00000078354"
"204","Ifna16","ENSMUSG00000078355","ENSMUST00000078355"
"205","Naip6","ENSMUSG00000078942","ENSMUST00000078942"
"206","Naip2","ENSMUSG00000078945","ENSMUST00000078945"
"207","Tlr5","ENSMUSG00000079164","ENSMUST00000079164"
"208","Clec7a","ENSMUSG00000079293","ENSMUST00000079293"
"209","Gm13271","ENSMUSG00000094618","ENSMUST00000094618"
"210","Ifna9","ENSMUSG00000095270","ENSMUST00000095270"
"211","Ifna1","ENSMUSG00000095498","ENSMUST00000095498"
"212","Ifna14","ENSMUSG00000095896","ENSMUST00000095896"
"213","Ifna15","ENSMUSG00000096011","ENSMUST00000096011"
"214","Ifna5","ENSMUSG00000096682","ENSMUST00000096682"
"215","C1rb","ENSMUSG00000098470","ENSMUST00000098470"
